frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1937,64.566667,1,759.93824,392.516441,657.352276,384.355037,708.645258,388.435739,2.726461,2.516738,-1.914415,2.661072,0.406023,2.588905
1938,64.6,1,759.938316,392.607851,657.259655,384.332764,708.598986,388.470308,2.719796,2.448138,-1.983627,2.699729,0.368085,2.573933
1939,64.633333,1,758.897648,392.552726,656.863861,384.559153,707.880754,388.55594,2.741291,2.519142,-1.922924,2.55348,0.409184,2.536311
1940,64.666667,1,758.576107,392.473279,656.473064,384.545506,707.524586,388.509393,2.744754,2.397601,-1.922886,2.380802,0.410934,2.389201
1941,64.7,1,757.868671,392.36951,656.042595,384.677525,706.955633,388.523517,2.718624,2.386841,-1.959696,2.449621,0.379464,2.418231
1942,64.733333,1,756.649265,391.663649,655.517731,384.111224,706.083498,387.887437,2.703832,2.490941,-1.909933,2.764465,0.396949,2.627703
1943,64.766667,1,756.947403,391.129417,655.591717,383.80792,706.26956,387.468669,2.717878,2.443922,-1.944369,2.78913,0.386754,2.616526
1944,64.8,1,757.119884,391.286348,655.51218,383.786355,706.316032,387.536352,2.725215,2.606014,-1.952285,2.801189,0.386465,2.703602
1945,64.833333,1,757.159367,391.20012,655.589428,383.651279,706.374397,387.4257,2.71847,2.591054,-1.961023,2.843586,0.378723,2.71732
1946,64.866667,1,757.27129,391.60655,655.521984,383.663521,706.396637,387.635036,2.70266,2.641111,-1.945629,2.824946,0.378516,2.733029
1947,64.9,1,756.778812,391.86415,654.946041,384.219124,705.862427,388.041637,2.724698,2.451253,-1.939694,3.010041,0.392502,2.730647
1948,64.933333,1,756.695194,392.297176,655.195332,384.42662,705.945263,388.361898,2.761054,2.445038,-1.904994,2.6621,0.42803,2.553569
1949,64.966667,1,755.690613,392.691225,654.034595,384.818298,704.862604,388.754761,2.794723,2.465532,-1.896514,2.621127,0.449105,2.54333
1950,65.0,1,754.673862,392.750459,653.155556,385.592093,703.914709,389.171276,2.775064,2.401832,-1.854728,2.39869,0.460168,2.400261
1951,65.033333,1,753.799553,392.433926,652.035255,385.292995,702.917404,388.86346,2.7765,2.631035,-1.865346,2.279469,0.455577,2.455252
1952,65.066667,1,753.751926,391.909436,651.641674,385.107236,702.6968,388.508336,2.783081,2.52242,-1.863832,2.33161,0.459624,2.427015
1953,65.1,1,753.512173,391.791998,651.62468,384.79949,702.568426,388.295744,2.797124,2.720915,-1.862519,2.33655,0.467303,2.528733
1954,65.133333,1,753.792992,391.353682,652.194614,384.469407,702.993803,387.911544,2.784025,2.626119,-1.870059,2.26662,0.456983,2.44637
1955,65.166667,1,754.330997,391.179092,652.807369,384.093264,703.569183,387.636178,2.799426,2.519862,-1.873285,2.435796,0.46307,2.477829
1956,65.2,1,754.854927,391.32421,653.403397,384.077471,704.129162,387.700841,2.79149,2.550084,-1.891459,2.414333,0.450015,2.482209
1957,65.233333,1,755.34153,391.648307,653.520088,383.945271,704.430809,387.796789,2.778882,2.444725,-1.861588,2.290475,0.458647,2.3676
1958,65.266667,1,754.95306,392.024589,653.587017,383.955485,704.270039,387.990037,2.77686,2.467276,-1.852617,2.214084,0.462121,2.34068
1959,65.3,1,754.175682,393.628035,653.35022,386.685694,703.762951,390.156865,2.793898,2.395102,-1.893267,2.886796,0.450316,2.640949
1960,65.333333,1,752.655525,396.987566,660.469246,388.554014,706.562386,392.77079,2.670672,6.910967,-1.772859,10.309627,0.448906,8.610297
1961,65.366667,1,752.011909,396.316381,659.152412,388.473762,705.582161,392.395071,2.678189,5.139645,-1.776438,5.73909,0.450876,5.439367
1962,65.4,1,753.824768,394.547861,653.580933,387.038341,703.70285,390.793101,2.850114,3.242065,-1.898667,2.581361,0.475723,2.911713
1963,65.433333,1,754.475574,392.798856,651.53265,385.750419,703.004112,389.274638,2.917897,3.205051,-1.894462,2.182088,0.511718,2.693569
1964,65.466667,1,754.256821,391.04422,652.769527,384.666688,703.513174,387.855454,2.853503,2.986066,-1.865497,2.62496,0.494003,2.805513
1965,65.5,1,755.332661,390.114609,653.501167,384.080315,704.416914,387.097462,2.840425,3.00355,-1.867021,3.032578,0.486702,3.018064
1966,65.533333,1,756.954098,389.687355,655.724754,383.340079,706.339426,386.513717,2.835328,2.777069,-1.895797,2.752709,0.469766,2.764889
1967,65.566667,1,760.084076,389.294068,657.801914,382.552861,708.942995,385.923464,2.81899,2.671927,-1.926812,2.822465,0.446089,2.747196
1968,65.6,1,762.866688,389.055308,660.467815,382.172942,711.667252,385.614125,2.779921,2.679344,-1.936942,3.144856,0.42149,2.9121
1969,65.633333,1,764.805984,388.589602,662.948837,381.193818,713.877411,384.89171,2.764168,2.819058,-1.916191,3.28789,0.423989,3.053474
